Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Côte d'Ivoire,CIV,5034.791,6791.284,6967.3,7245.992,9292.178,10681.971,11089.008,10960.663,9673.546,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Croatie,HRV,..,19339.758,20172.167,19915.477,18045.307,17601.6,16904.87,17311.907,17487.923,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Cuba,CUB,32962.663,26083.371,34114.101,29380.004,29746.704,27953.541,27623.511,29244.325,28283.571,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Curacao,CUW,..,..,..,..,5999.212,5214.474,5881.868,6395.248,5390.49,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Chypre,CYP,4708.428,6978.301,7708.034,7425.675,6919.629,5947.874,6061.551,6138.558,6626.269,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,République tchèque,CZE,..,123801.587,112745.582,107993.15,103350.728,102012.273,97160.832,99852.41,102217.625,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Danemark,DNK,50230.566,51330.666,45815.498,40656.029,36427.978,37253.053,33146.013,30817.468,31785.556,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Djibouti,DJI,322.696,366.7,517.047,473.043,480.377,572.052,612.389,627.057,619.723,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Dominique,DMA,58.672,102.676,172.349,154.014,165.015,168.682,176.016,176.016,179.683,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,République dominicaine,DOM,9229.839,19790.799,21022.911,21767.312,21965.33,21473.952,22145.013,24136.194,25258.296,..,..,..
